OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length
2939,37,119,003011,2,371190030112,Block Group 2,"Block Group 2, Census Tract 30.11, Mecklenburg County, North Carolina",405800,285,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,18,76,130,0,0,20,0,0,0,0,5a8f664e-43de-46a7-b50b-778e5b94b0bd,4370020.72955322,8821.15935993134
2940,37,119,005906,3,371190059063,Block Group 3,"Block Group 3, Census Tract 59.06, Mecklenburg County, North Carolina",,395,0,10,0,28,0,0,28,27,9,57,0,23,21,0,0,10,0,41,14,16,18,61,32,0,0,0,134,827,5f071278-aed3-430c-85c0-aceb224fd422,130405081.415405,76519.0617925576
2941,37,119,005508,1,371190055081,Block Group 1,"Block Group 1, Census Tract 55.08, Mecklenburg County, North Carolina",246500,621,0,16,0,0,0,0,0,0,0,0,0,0,0,5,26,30,80,165,171,102,16,10,0,0,0,0,114,1591,3ff58115-b1c2-45e0-a0ba-b53211ac5054,83220675.4020386,56999.4280738936
2942,37,119,005710,2,371190057102,Block Group 2,"Block Group 2, Census Tract 57.10, Mecklenburg County, North Carolina",84300,277,24,0,0,8,52,17,0,0,0,9,14,34,0,18,0,44,7,5,10,28,0,0,0,0,7,0,705,962,485e0696-334e-48a9-93b2-5ed1c8003f17,10710679.4713135,15828.2996715821
2943,37,119,004400,2,371190044002,Block Group 2,"Block Group 2, Census Tract 44, Mecklenburg County, North Carolina",111800,799,0,0,0,0,0,0,0,0,19,18,111,51,63,292,127,28,68,10,0,0,0,0,0,0,12,0,307,1173,af6c5827-415e-4a5e-8f3f-1f712ad01c98,55616712.0142822,32350.9582393847
2944,37,119,005713,1,371190057131,Block Group 1,"Block Group 1, Census Tract 57.13, Mecklenburg County, North Carolina",394600,763,10,0,7,0,0,0,0,0,0,0,0,0,0,19,0,33,18,41,52,213,208,107,45,10,0,0,83,1086,cf8546e6-e0cb-455d-ab8b-87269c52c42f,79370398.1627197,38077.8087994077
2945,37,119,005716,1,371190057161,Block Group 1,"Block Group 1, Census Tract 57.16, Mecklenburg County, North Carolina",162100,644,0,0,0,0,0,0,0,0,0,0,0,34,8,45,179,116,122,104,9,27,0,0,0,0,0,0,142,1368,242e43b7-7e0c-4504-9f2b-610ee61dc2ef,11771411.5540771,14512.4257686538
2946,37,119,000800,2,371190008002,Block Group 2,"Block Group 2, Census Tract 8, Mecklenburg County, North Carolina",269600,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,331,1036,7b9c160a-2f39-4f27-880a-607d024ca056,3909473.08953857,8424.95877530588
2947,37,119,002904,2,371190029042,Block Group 2,"Block Group 2, Census Tract 29.04, Mecklenburg County, North Carolina",908000,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,72,51,0,0,243,1352,4a116843-29ea-4f94-bb7e-948005df5aa4,12950110.1721802,15649.2620858047
2948,37,119,005524,3,371190055243,Block Group 3,"Block Group 3, Census Tract 55.24, Mecklenburg County, North Carolina",135200,400,32,17,0,0,0,0,0,0,0,11,13,0,11,76,98,28,14,79,0,0,0,0,0,21,0,0,416,1270,9d807fec-bfd0-4f08-bb58-026d0402fa48,18043059.8539429,22776.2243369982
